Player,Shirt_Number,Player_Nation,Player_Position,Player_Age,Minutes_Played,Goals,Assists,Penalty_Kick_Scored,Penalty_Kick_Attempted,Shots,Shots_On_Targer,Yellow_Cards,Red_Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Progresive_Passes,Carries,Progresive_Carries,Dribbles_Attempted,Dribbles_Succesful,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Total_Passing_Distance,Progressive_Passing_Distacne,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_Percentage,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_Percentage,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_Percentage,Assists,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP,Passes_Attempted,Live,Dead,FK,TB,Sw,Crosses,TI,CK,Crs_In,Crs_Out,Crs_Str,Passes_Completed,Passes_Off,Passes_Blocked,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Drib_Tkl,Drib_Chl,Tkl%,Lost,Blocks,Sh_Blocks,Pass_Blocked,Int ,Tkl_Int,Clr,Err,Touches,Def_Pen_Touches,Def_3rd_Touches,Mid_3rd_Touches,Att_3rd_Touches,Att_Pen_Touches,Live_touches,Takeons,Succ_Takeons,Succ_Takeons_%,Takeons_Tkl,Takenone_Tkl_%,Carries,TotDist,PrgDist,PrgC,Final_Third_Carries,Penalty_Carries,MisControls,Disp,Pass_Rec,Pass_Rec_Prg,Yellow_Cards,Red_Cards,2CrdY,Fls,Fld,Off,Crosses,Int,TklW,PKWin,PkCon,OG,Recov,Awon,Alost,Awon_%,Team,Opponenet,Home/Away
Alejandro Garnacho,17,ARG,RW,20-046,30,0,1,0,0,2,0,0,0,19,1,0,0,0.7,0.7,0.2,3,1,10,11,90.9,0,11,2,2,0,10,11,90.9,132,19,7,7,100.0,3,4,75.0,0,0,,1,0.2,0.1,2,0,1,1,0,11,11,0,0,0,0,1,0,0,0,0,0,10,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,19,0,2,7,10,3,19,2,0,0.0,1,50.0,11,78,42,2,0,1,2,1,12,3,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,50.0,Manchester Utd,Fulham,Home
Amad Diallo,16,CIV,RW,22-036,60,0,0,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.1,1,0,28,33,84.8,1,22,0,1,1,28,33,84.8,312,66,17,17,100.0,6,7,85.7,1,3,33.3,0,0.1,0.1,1,1,0,0,1,33,28,4,0,0,0,2,1,3,2,0,0,28,1,1,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,36,1,4,11,22,3,36,1,1,100.0,0,0.0,22,147,27,0,4,2,2,2,26,7,0,0,0,0,0,0,2,2,1,0,0,0,6,0,1,0.0,Manchester Utd,Fulham,Home
Bruno Fernandes,8,POR,"FW,AM",29-343,90,0,0,0,0,6,3,0,0,70,2,0,0,1.2,1.2,0.0,2,0,43,60,71.7,6,50,7,1,1,43,60,71.7,693,229,21,22,95.5,14,19,73.7,4,9,44.4,0,0.0,0.0,0,4,0,0,6,60,51,8,2,0,0,8,1,4,1,2,0,43,1,3,2,1,0,2,0,1,3,33.3,2,0,0,0,0,2,0,0,70,0,6,28,36,3,70,1,1,100.0,0,0.0,50,256,185,7,5,0,1,2,51,7,0,0,0,0,0,0,8,0,1,0,0,0,6,0,2,0.0,Manchester Utd,Fulham,Home
Casemiro,18,BRA,DM,32-175,90,0,0,0,0,3,0,0,0,77,4,1,5,0.2,0.2,1.0,5,1,44,57,77.2,4,46,0,1,0,44,57,77.2,702,227,17,21,81.0,21,24,87.5,3,3,100.0,0,1.0,0.5,3,2,3,1,4,57,55,1,1,1,0,3,0,0,0,0,0,44,1,2,4,2,4,0,0,2,4,50.0,2,5,1,4,1,5,5,0,77,7,20,38,20,3,77,1,0,0.0,1,100.0,46,167,90,0,0,0,0,0,50,0,0,0,0,1,1,2,3,1,2,0,0,0,7,2,2,50.0,Manchester Utd,Fulham,Home
Diogo Dalot,20,POR,"LB,RB",25-151,90,0,0,0,0,0,0,0,0,67,2,1,1,0.0,0.0,0.0,1,0,49,60,81.7,3,40,1,1,1,49,60,81.7,760,117,23,27,85.2,15,18,83.3,6,9,66.7,0,0.0,0.0,0,1,0,0,3,60,53,7,2,0,0,3,5,0,0,0,0,49,0,1,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,3,0,67,6,15,30,22,0,67,1,1,100.0,0,0.0,40,154,98,1,2,0,0,0,41,10,0,0,0,2,1,0,3,1,1,0,0,0,6,2,2,50.0,Manchester Utd,Fulham,Home
Harry Maguire,5,ENG,CB,31-164,80,0,0,0,0,0,0,1,0,68,0,3,1,0.0,0.0,0.0,2,0,50,60,83.3,8,40,1,2,1,50,60,83.3,889,299,18,19,94.7,26,32,81.3,4,7,57.1,0,0.0,0.0,0,5,1,0,8,60,55,5,2,0,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,,0,1,1,0,3,3,6,0,68,11,28,40,1,0,68,2,1,50.0,1,50.0,40,292,104,1,1,0,0,0,42,0,1,0,0,2,0,0,0,3,0,0,0,0,5,5,1,83.3,Manchester Utd,Fulham,Home
Jonny Evans,35,NIR,CB,36-226,10,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,2,0,0,0,4,6,66.7,78,30,1,1,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,8,1,5,3,0,0,8,0,0,,0,,2,10,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Manchester Utd,Fulham,Home
Joshua Zirkzee,11,NED,FW,23-086,30,1,0,0,0,1,1,0,0,12,0,0,1,0.1,0.1,0.0,1,0,8,9,88.9,1,6,0,0,0,8,9,88.9,75,26,5,6,83.3,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,12,0,1,7,4,1,12,0,0,,0,,6,16,11,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Manchester Utd,Fulham,Home
Kobbie Mainoo,37,ENG,DM,19-119,83,0,0,0,0,1,0,0,0,55,3,5,0,0.0,0.0,0.0,1,0,37,41,90.2,5,39,0,5,4,37,41,90.2,512,94,21,23,91.3,7,8,87.5,3,3,100.0,0,0.0,0.0,0,3,0,0,5,41,40,1,1,0,0,0,0,0,0,0,0,37,0,0,3,3,1,1,1,3,4,75.0,1,0,0,0,5,8,0,0,55,1,8,29,18,0,55,5,4,80.0,1,20.0,39,156,38,0,2,0,1,4,36,1,0,0,0,3,4,0,0,5,3,0,0,0,6,2,3,40.0,Manchester Utd,Fulham,Home
Lisandro Martínez,6,ARG,"CB,LB",26-211,90,0,0,0,0,0,0,0,0,70,3,3,0,0.0,0.0,0.0,3,0,55,62,88.7,9,51,1,0,0,55,62,88.7,979,371,19,22,86.4,30,32,93.8,5,7,71.4,0,0.0,0.0,1,5,1,0,9,62,59,3,0,0,0,0,1,0,0,0,0,55,0,0,3,2,2,0,1,1,3,33.3,2,0,0,0,3,6,2,0,70,8,26,42,3,0,70,0,0,,0,,51,385,286,1,2,0,0,0,52,0,0,0,0,1,0,0,0,3,2,0,0,0,2,0,1,0.0,Manchester Utd,Fulham,Home
Marcus Rashford,10,ENG,LW,26-290,90,0,0,0,0,0,0,0,0,43,0,1,1,0.0,0.0,0.7,1,0,22,30,73.3,2,34,2,6,0,22,30,73.3,240,92,15,17,88.2,2,8,25.0,1,1,100.0,0,0.7,0.1,1,2,1,0,2,30,30,0,0,0,1,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,43,1,6,11,26,4,43,6,0,0.0,5,83.3,34,214,69,2,1,1,2,1,37,9,0,0,0,1,1,1,1,1,0,0,0,0,4,1,0,100.0,Manchester Utd,Fulham,Home
Mason Mount,7,ENG,AM,25-219,60,0,0,0,0,1,1,1,0,23,3,0,0,0.3,0.3,0.1,3,0,11,15,73.3,1,16,0,2,0,11,15,73.3,106,12,8,10,80.0,1,2,50.0,0,0,,0,0.1,0.0,2,1,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,11,0,0,3,1,0,3,0,2,2,100.0,0,0,0,0,0,3,0,0,23,0,1,9,13,5,23,2,0,0.0,2,100.0,16,127,9,0,0,0,1,3,18,3,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,100.0,Manchester Utd,Fulham,Home
Matthijs de Ligt,4,NED,CB,25-004,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,2,2,100.0,41,20,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,2,13,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Manchester Utd,Fulham,Home
Noussair Mazraoui,3,MAR,RB,26-276,80,0,0,0,0,0,0,0,0,54,2,3,1,0.0,0.0,0.0,0,0,41,45,91.1,3,34,1,0,0,41,45,91.1,505,215,27,31,87.1,14,14,100.0,0,0,,0,0.0,0.0,0,5,0,0,3,45,38,7,0,0,0,0,7,0,0,0,0,41,0,0,2,2,1,0,1,1,1,100.0,0,1,0,1,3,5,2,0,54,4,14,33,8,0,54,0,0,,0,,34,130,54,1,0,0,0,0,32,2,0,0,0,0,1,0,0,3,2,0,0,0,5,3,1,75.0,Manchester Utd,Fulham,Home
Scott McTominay,39,SCO,DM,27-252,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,4,4,100.0,73,54,3,3,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,1,3,0,0,4,0,0,,0,,3,11,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Manchester Utd,Fulham,Home
